Order ID,Order Date,Customer Name,Category,Sub-Category,Product Name,City,State,Region,Sales,Quantity,Discount,Profit
100553,2021-01-01,Customer 230,Office Supplies,Storage,Bookcases Model 7,Phoenix,Illinois,East,75.72,1,0.0,21.74
100876,2021-01-01,Customer 373,Office Supplies,Storage,Machines Model 10,Miami,Texas,East,1104.3,2,0.05,90.46
100192,2021-01-01,Customer 154,Office Supplies,Art,Tables Model 1,Chicago,New York,South,377.28,4,0.05,68.55
100593,2021-01-03,Customer 426,Technology,Copiers,Binders Model 4,Phoenix,Pennsylvania,East,213.7,1,0.0,17.33
101702,2021-01-03,Customer 127,Technology,Phones,Bookcases Model 5,Philadelphia,Ohio,Central,170.33,4,0.0,49.18
100062,2021-01-04,Customer 228,Technology,Phones,Art Model 3,Philadelphia,Georgia,East,195.06,5,0.05,22.16
100426,2021-01-06,Customer 113,Office Supplies,Storage,Tables Model 9,Dallas,North Carolina,Central,866.17,2,0.0,223.86
100639,2021-01-06,Customer 238,Office Supplies,Paper,Furnishings Model 2,Los Angeles,Florida,West,167.61,4,0.0,40.68
101671,2021-01-07,Customer 100,Technology,Accessories,Tables Model 5,Philadelphia,Georgia,Central,306.64,1,0.0,52.48
100971,2021-01-07,Customer 482,Office Supplies,Paper,Phones Model 5,Miami,North Carolina,South,196.5,4,0.0,22.24
100455,2021-01-07,Customer 247,Technology,Accessories,Chairs Model 2,Philadelphia,North Carolina,West,108.49,5,0.1,19.08
101237,2021-01-08,Customer 251,Technology,Phones,Storage Model 10,San Jose,Pennsylvania,West,176.41,4,0.1,33.93
101566,2021-01-08,Customer 362,Technology,Machines,Bookcases Model 7,San Antonio,California,West,276.57,3,0.15,33.62
100137,2021-01-09,Customer 310,Office Supplies,Binders,Machines Model 9,Dallas,New York,South,77.27,3,0.0,9.93
101741,2021-01-10,Customer 452,Office Supplies,Storage,Tables Model 5,Los Angeles,New York,East,342.44,1,0.05,35.32
100450,2021-01-10,Customer 346,Office Supplies,Storage,Bookcases Model 4,Miami,Florida,Central,342.24,2,0.0,48.25
101040,2021-01-12,Customer 488,Furniture,Furnishings,Bookcases Model 8,Philadelphia,Florida,South,106.04,3,0.0,21.22
101461,2021-01-12,Customer 356,Technology,Machines,Machines Model 8,Los Angeles,North Carolina,Central,118.74,1,0.2,22.99
100402,2021-01-12,Customer 51,Office Supplies,Paper,Machines Model 7,Chicago,Illinois,West,166.25,3,0.05,22.2
100412,2021-01-13,Customer 456,Furniture,Tables,Storage Model 1,Phoenix,Ohio,South,129.12,1,0.0,31.44
100452,2021-01-13,Customer 243,Furniture,Bookcases,Paper Model 5,Miami,Pennsylvania,West,116.13,2,0.05,16.3
101718,2021-01-13,Customer 276,Furniture,Chairs,Chairs Model 7,San Diego,Pennsylvania,Central,589.06,5,0.05,128.11
101584,2021-01-14,Customer 420,Furniture,Furnishings,Storage Model 1,Dallas,Georgia,West,346.63,3,0.05,25.35
101005,2021-01-14,Customer 51,Technology,Accessories,Phones Model 4,Miami,Georgia,Central,418.67,4,0.15,76.01
100625,2021-01-15,Customer 321,Technology,Phones,Machines Model 9,Chicago,California,South,168.26,1,0.05,46.27
101336,2021-01-15,Customer 232,Office Supplies,Art,Tables Model 4,Miami,Ohio,West,211.92,3,0.05,49.39
100861,2021-01-15,Customer 499,Office Supplies,Storage,Paper Model 4,Philadelphia,Georgia,East,162.33,4,0.05,15.11
101821,2021-01-16,Customer 426,Technology,Machines,Paper Model 2,Chicago,Florida,East,559.82,1,0.0,125.09
101813,2021-01-17,Customer 149,Office Supplies,Storage,Chairs Model 10,Dallas,Pennsylvania,East,141.19,4,0.2,25.31
101414,2021-01-18,Customer 287,Office Supplies,Paper,Bookcases Model 3,Chicago,New York,Central,140.06,1,0.0,25.58
101532,2021-01-18,Customer 261,Office Supplies,Art,Copiers Model 9,Chicago,Ohio,East,163.28,2,0.05,37.92
100731,2021-01-19,Customer 353,Office Supplies,Binders,Copiers Model 7,Phoenix,Ohio,South,108.3,1,0.0,18.66
101652,2021-01-20,Customer 284,Furniture,Tables,Machines Model 6,Houston,Texas,Central,143.31,2,0.0,16.75
100745,2021-01-20,Customer 402,Office Supplies,Paper,Machines Model 2,Houston,New York,South,123.99,5,0.0,35.2
100472,2021-01-21,Customer 251,Furniture,Furnishings,Binders Model 9,San Jose,Texas,South,96.87,4,0.05,19.39
101957,2021-01-21,Customer 222,Office Supplies,Art,Binders Model 8,Philadelphia,Georgia,Central,1169.54,5,0.1,190.9
101856,2021-01-23,Customer 339,Office Supplies,Binders,Storage Model 2,Phoenix,Pennsylvania,West,786.26,3,0.0,181.92
100312,2021-01-23,Customer 66,Office Supplies,Paper,Chairs Model 9,Chicago,Florida,West,262.83,4,0.05,30.6
100357,2021-01-24,Customer 299,Technology,Accessories,Machines Model 6,Philadelphia,Ohio,East,103.59,2,0.05,24.64
101847,2021-01-24,Customer 113,Office Supplies,Art,Bookcases Model 9,Philadelphia,North Carolina,East,106.71,1,0.1,4.68
101009,2021-01-25,Customer 488,Furniture,Chairs,Binders Model 2,Philadelphia,Ohio,South,143.2,2,0.0,27.14
101920,2021-01-25,Customer 173,Office Supplies,Art,Bookcases Model 4,Los Angeles,North Carolina,East,450.34,3,0.0,102.51
100176,2021-01-26,Customer 440,Technology,Phones,Tables Model 10,San Jose,Pennsylvania,South,137.73,4,0.15,4.79
100605,2021-01-27,Customer 140,Office Supplies,Binders,Furnishings Model 1,Los Angeles,California,Central,106.32,2,0.15,12.18
101956,2021-01-27,Customer 211,Office Supplies,Binders,Machines Model 8,Philadelphia,California,East,554.25,1,0.1,111.63
100666,2021-01-28,Customer 373,Furniture,Furnishings,Machines Model 3,Phoenix,New York,Central,364.85,1,0.0,84.67
100845,2021-01-28,Customer 297,Office Supplies,Binders,Phones Model 4,Houston,Florida,South,35.2,3,0.0,5.74
100400,2021-01-29,Customer 418,Office Supplies,Paper,Machines Model 5,Miami,North Carolina,South,639.83,3,0.1,39.14
100172,2021-01-29,Customer 152,Technology,Copiers,Paper Model 4,Phoenix,Michigan,East,501.31,3,0.0,95.18
101037,2021-01-31,Customer 396,Office Supplies,Storage,Paper Model 7,San Jose,Illinois,South,476.38,4,0.05,49.71
100546,2021-01-31,Customer 212,Technology,Copiers,Accessories Model 6,San Diego,California,West,130.38,2,0.0,35.67
100687,2021-01-31,Customer 301,Office Supplies,Storage,Binders Model 9,Los Angeles,Florida,West,308.11,3,0.05,41.21
100533,2021-01-31,Customer 135,Office Supplies,Paper,Tables Model 4,Dallas,Pennsylvania,West,430.82,5,0.1,103.34
101362,2021-02-01,Customer 291,Technology,Accessories,Chairs Model 7,San Diego,Florida,East,347.0,1,0.15,12.89
101674,2021-02-02,Customer 77,Technology,Accessories,Phones Model 10,Miami,Pennsylvania,South,330.47,5,0.1,24.03
101917,2021-02-02,Customer 116,Furniture,Furnishings,Chairs Model 8,San Jose,Pennsylvania,South,76.58,1,0.0,20.75
100526,2021-02-04,Customer 337,Furniture,Furnishings,Accessories Model 1,Chicago,California,East,190.8,4,0.0,18.25
100882,2021-02-04,Customer 107,Office Supplies,Binders,Paper Model 7,Dallas,California,West,554.41,3,0.15,99.39
100939,2021-02-05,Customer 401,Office Supplies,Binders,Paper Model 5,San Diego,California,East,415.08,3,0.15,48.01
101977,2021-02-05,Customer 46,Furniture,Bookcases,Machines Model 10,Philadelphia,North Carolina,East,225.65,1,0.0,21.27
101311,2021-02-06,Customer 43,Furniture,Tables,Copiers Model 8,Chicago,New York,East,302.34,3,0.15,49.82
100864,2021-02-06,Customer 403,Office Supplies,Binders,Chairs Model 5,Los Angeles,Ohio,South,239.28,3,0.15,38.87
101995,2021-02-06,Customer 330,Office Supplies,Paper,Chairs Model 9,Phoenix,North Carolina,West,143.19,3,0.0,31.61
101762,2021-02-06,Customer 290,Office Supplies,Binders,Bookcases Model 7,San Diego,Georgia,Central,211.65,5,0.1,48.73
101267,2021-02-07,Customer 302,Office Supplies,Binders,Bookcases Model 9,Miami,Illinois,East,391.39,3,0.0,111.53
100142,2021-02-08,Customer 248,Office Supplies,Binders,Storage Model 9,Philadelphia,North Carolina,Central,121.1,2,0.1,7.18
100078,2021-02-08,Customer 47,Office Supplies,Storage,Storage Model 6,San Antonio,Texas,South,237.04,2,0.15,10.0
100017,2021-02-08,Customer 91,Office Supplies,Art,Furnishings Model 3,San Jose,Texas,West,571.32,4,0.05,84.17
100435,2021-02-09,Customer 450,Office Supplies,Art,Paper Model 7,Miami,Michigan,East,470.13,5,0.1,115.65
100042,2021-02-09,Customer 170,Office Supplies,Storage,Art Model 8,San Jose,Georgia,East,375.94,1,0.15,58.03
100542,2021-02-09,Customer 429,Office Supplies,Art,Tables Model 7,San Antonio,Illinois,Central,144.42,5,0.1,24.75
101428,2021-02-09,Customer 83,Technology,Machines,Machines Model 9,Philadelphia,Ohio,West,201.02,1,0.15,5.68
100063,2021-02-11,Customer 201,Office Supplies,Binders,Binders Model 6,Houston,Michigan,South,230.73,4,0.1,20.51
